epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,3703.88,0.3679,0.44461,0.29261,0.79351,0.97872,0.97884,0.99295,0.95499,0.97872,0.97884,0.99295,0.93233,0.29055,0.31139,0.23409,0.77905,0.00075844,0.00075844,0.00075844
63,3763.46,0.37075,0.46153,0.28813,0.7966,0.98583,0.98413,0.99346,0.95454,0.98583,0.98413,0.99346,0.93004,0.29955,0.30843,0.23318,0.78209,0.00075448,0.00075448,0.00075448
64,3822.95,0.3696,0.44551,0.30754,0.79746,0.97893,0.98346,0.99367,0.95809,0.97893,0.98346,0.99367,0.93435,0.30173,0.33232,0.22766,0.78107,0.00075052,0.00075052,0.00075052
65,3882.79,0.35812,0.44383,0.29185,0.80024,0.98421,0.98912,0.99357,0.96961,0.98421,0.98912,0.99357,0.93297,0.26643,0.31939,0.2114,0.77353,0.00074656,0.00074656,0.00074656
66,3942.85,0.36941,0.45877,0.28928,0.8018,0.98936,0.98381,0.99354,0.95272,0.98936,0.98381,0.99354,0.92975,0.30372,0.34215,0.22382,0.78251,0.0007426,0.0007426,0.0007426
67,4002.35,0.36793,0.46786,0.29652,0.79856,0.99465,0.98374,0.98838,0.96312,0.99465,0.98374,0.98838,0.93251,0.27304,0.29914,0.22242,0.77687,0.00073864,0.00073864,0.00073864
68,4061.68,0.36849,0.4533,0.29718,0.79839,0.99329,0.97884,0.9923,0.95975,0.99329,0.97884,0.9923,0.92502,0.27387,0.30795,0.22495,0.77612,0.00073468,0.00073468,0.00073468
69,4121.45,0.36451,0.45871,0.28679,0.79568,0.988,0.97884,0.99318,0.96141,0.988,0.97884,0.99318,0.94202,0.27392,0.29977,0.21456,0.77655,0.00073072,0.00073072,0.00073072
70,4181.63,0.36811,0.46298,0.29401,0.7952,0.97372,0.98024,0.99292,0.94973,0.97372,0.98024,0.99292,0.93362,0.29957,0.3131,0.22854,0.78006,0.00072676,0.00072676,0.00072676
71,4241.1,0.35503,0.45744,0.29092,0.79597,0.98812,0.96825,0.99074,0.95879,0.98812,0.96825,0.99074,0.93418,0.28047,0.33358,0.23444,0.78307,0.0007228,0.0007228,0.0007228
72,4300.94,0.35461,0.45281,0.28013,0.79753,0.9891,0.96825,0.99079,0.95953,0.9891,0.96825,0.99079,0.93066,0.27514,0.30084,0.22103,0.77611,0.00071884,0.00071884,0.00071884
73,4360.75,0.36858,0.47144,0.29878,0.79719,0.97875,0.97501,0.98756,0.95046,0.97875,0.97501,0.98756,0.9304,0.2987,0.33326,0.21923,0.78031,0.00071488,0.00071488,0.00071488
74,4420.49,0.35244,0.43772,0.28757,0.79689,0.98913,0.97354,0.99384,0.95532,0.98913,0.97354,0.99384,0.9212,0.26724,0.29058,0.21815,0.77471,0.00071092,0.00071092,0.00071092
75,4480.02,0.35526,0.42732,0.29229,0.79696,0.98799,0.97884,0.99415,0.96134,0.98799,0.97884,0.99415,0.9351,0.28604,0.29797,0.22291,0.77678,0.00070696,0.00070696,0.00070696
