epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,4974.29,0.34692,0.43551,0.29454,0.79758,0.98303,1,0.9945,0.97253,0.98303,1,0.9945,0.93993,0.27563,0.26583,0.21406,0.78331,0.000703,0.000703,0.000703
77,5032.81,0.36316,0.47395,0.297,0.79831,0.98857,1,0.99489,0.96717,0.98857,1,0.99489,0.94969,0.29856,0.27566,0.21206,0.78642,0.00069904,0.00069904,0.00069904
78,5091.62,0.3427,0.42877,0.29061,0.79658,0.99307,1,0.99478,0.9641,0.99307,1,0.99478,0.95117,0.30395,0.26858,0.21305,0.79282,0.00069508,0.00069508,0.00069508
79,5150.42,0.34939,0.43563,0.3021,0.79853,0.99089,0.99441,0.99494,0.96843,0.99089,0.99441,0.99494,0.94364,0.27976,0.27322,0.21121,0.78525,0.00069112,0.00069112,0.00069112
80,5209.7,0.35094,0.45158,0.28593,0.7981,0.98766,0.99441,0.99489,0.96109,0.98766,0.99441,0.99489,0.94933,0.29902,0.277,0.20845,0.79124,0.00068716,0.00068716,0.00068716
81,5268.18,0.34675,0.4351,0.29002,0.79469,0.99444,0.99971,0.99494,0.96667,0.99444,0.99971,0.99494,0.94591,0.28277,0.29271,0.20594,0.7815,0.0006832,0.0006832,0.0006832
82,5326.82,0.34858,0.43546,0.28224,0.79358,0.98807,0.98883,0.99375,0.96624,0.98807,0.98883,0.99375,0.94641,0.29194,0.26598,0.19832,0.78891,0.00067924,0.00067924,0.00067924
83,5386.12,0.35274,0.43793,0.28326,0.79362,0.98653,0.97765,0.9928,0.97531,0.98653,0.97765,0.9928,0.94434,0.25045,0.2915,0.18859,0.7786,0.00067528,0.00067528,0.00067528
84,5444.91,0.35203,0.45252,0.28495,0.79109,1,0.9929,0.995,0.96746,1,0.9929,0.995,0.94403,0.28027,0.31804,0.20651,0.78099,0.00067132,0.00067132,0.00067132
85,5503.63,0.35571,0.44856,0.29763,0.79794,0.99259,0.96089,0.9939,0.96883,0.99259,0.96089,0.9939,0.94364,0.27963,0.29437,0.2147,0.78945,0.00066736,0.00066736,0.00066736
